"DATA (CET)";"ORA (CET)";"PRESSIONE (hPa)";"TEMPERATURA (gradi centigradi)";"DIR VENTO (gradi nord)";"VEL VENTO (km/h)";"UMIDITA REL (%)";"PRECIPITAZIONE ACCUMUL (mm)";"INSOLAZIONE (ore)"
01/01/2000;00.00;1025.2;2.6;0.0;5.0;80;;
01/01/2000;01.00;1025.2;2.0;0.0;6.0;86;;
01/01/2000;02.00;1025.2;1.6;0.0;6.0;87;;
01/01/2000;03.00;1025.4;1.7;0.0;4.0;85;;
01/01/2000;04.00;1025.5;1.6;0.0;5.0;86;;
01/01/2000;05.00;1025.5;1.0;0.0;5.0;88;;
01/01/2000;06.00;1025.5;0.0;0.0;6.0;98;;
01/01/2000;07.00;1025.9;0.7;0.0;6.0;95;;
01/01/2000;08.00;1026.3;0.8;0.0;5.0;91;;
01/01/2000;09.00;1026.6;0.6;0.0;6.0;94;;1.0
01/01/2000;10.00;1027.0;2.1;0.0;7.0;80;;1.0
01/01/2000;11.00;1027.6;3.5;0.0;6.0;70;;1.0
01/01/2000;12.00;1027.8;5.1;22.5;6.0;65;;1.0
01/01/2000;13.00;1027.5;6.7;22.5;5.0;58;;1.0
01/01/2000;14.00;1027.0;7.1;22.5;3.0;54;;1.0
01/01/2000;15.00;1027.0;6.4;135.0;3.0;65;;0.8
01/01/2000;16.00;1027.0;5.3;225.0;3.0;73;;
01/01/2000;17.00;1027.0;4.9;225.0;3.0;71;;
01/01/2000;18.00;1027.0;4.7;225.0;5.0;79;;
01/01/2000;19.00;1026.8;4.7;225.0;6.0;84;;
01/01/2000;20.00;1026.8;4.6;247.5;6.0;88;;
01/01/2000;21.00;1026.8;4.1;247.5;3.0;90;;
01/01/2000;22.00;1026.8;3.9;247.5;4.0;91;;
01/01/2000;23.00;1026.8;3.5;247.5;5.0;93;;
02/01/2000;00.00;1026.7;2.6;247.5;3.0;98;;
02/01/2000;01.00;1026.6;1.8;;0.0;98;;
02/01/2000;02.00;1026.3;1.6;;0.0;98;;
02/01/2000;03.00;1026.0;1.0;;0.0;98;;
02/01/2000;04.00;1025.8;0.2;;0.0;97;;
02/01/2000;05.00;1025.6;0.0;;0.0;97;;
02/01/2000;06.00;1025.5;-0.4;0.0;3.0;96;;
02/01/2000;07.00;1025.6;-0.9;0.0;4.0;96;;
02/01/2000;08.00;1026.3;-0.1;0.0;4.0;93;;
02/01/2000;09.00;1026.8;1.0;0.0;3.0;87;;
02/01/2000;10.00;1027.8;1.8;0.0;5.0;80;;0.9
02/01/2000;11.00;1027.9;2.9;0.0;6.0;75;;1.0
